type,area,city,date,instructions
ירי רקטות וטילים,מערב לכיש,באר גנים,2023-10-27T16:19:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,מערב לכיש,אזור תעשייה הדרומי אשקלון,2023-10-27T16:19:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,מערב לכיש,אשקלון - דרום,2023-10-27T16:19:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,חולון,2023-10-27T14:31:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,אור יהודה,2023-10-27T14:31:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,אזור,2023-10-27T14:31:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,השפלה,גנות,2023-10-27T14:31:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,השפלה,משמר השבעה,2023-10-27T14:31:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,השפלה,בית דגן,2023-10-27T14:31:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,השפלה,חמד,2023-10-27T14:31:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,השפלה,עיינות,2023-10-27T14:30:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,תל אביב - דרום העיר ויפו,2023-10-27T14:30:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,פתח תקווה,2023-10-27T14:30:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,גני תקווה,2023-10-27T14:30:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,רמת גן - מזרח,2023-10-27T14:30:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,סביון,2023-10-27T14:30:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,גבעת שמואל,2023-10-27T14:30:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,קריית אונו,2023-10-27T14:30:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,גת רימון,2023-10-27T14:30:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,השפלה,בית עובד,2023-10-27T14:30:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,השפלה,אירוס,2023-10-27T14:30:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,לכיש,אשדוד - איזור תעשייה צפוני,2023-10-27T14:30:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,עוטף עזה,נחל עוז,2023-10-27T14:30:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,תל אביב - מרכז העיר,2023-10-27T14:30:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,תל אביב - עבר הירקון,2023-10-27T14:30:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,השפלה,רחובות,2023-10-27T14:30:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,השפלה,ראשון לציון - מזרח,2023-10-27T14:30:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,השפלה,נס ציונה,2023-10-27T14:30:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,עוטף עזה,עלומים,2023-10-27T14:30:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,אזור,2023-10-27T14:04:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,מקווה ישראל,2023-10-27T14:04:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,עוטף עזה,זיקים,2023-10-27T14:03:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,עוטף עזה,כרמיה,2023-10-27T14:03:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,בת-ים,2023-10-27T14:03:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,חולון,2023-10-27T14:02:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,רמת גן - מערב,2023-10-27T14:02:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,תל אביב - מזרח,2023-10-27T14:02:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,תל אביב - דרום העיר ויפו,2023-10-27T14:02:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,תל אביב - מרכז העיר,2023-10-27T14:02:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,תל אביב - עבר הירקון,2023-10-27T14:02:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,גבעתיים,2023-10-27T14:02:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,בני ברק,2023-10-27T14:02:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,השפלה,ראשון לציון - מערב,2023-10-27T14:02:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,עוטף עזה,נתיב העשרה,2023-10-27T14:02:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,מערב לכיש,ניצן,2023-10-27T13:42:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,לכיש,"אשדוד - ח,ט,י,יג,יד,טז",2023-10-27T13:42:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,לכיש,"אשדוד -יא,יב,טו,יז,מרינה,סיטי",2023-10-27T13:42:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,עוטף עזה,כרם שלום,2023-10-27T12:44:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,עוטף עזה,כיסופים,2023-10-27T12:43:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,עוטף עזה,בארי,2023-10-27T02:51:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,מקווה ישראל,2023-10-26T22:02:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,תל אביב - דרום העיר ויפו,2023-10-26T22:02:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,השפלה,פארק תעשיות פלמחים,2023-10-26T22:02:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,השפלה,ראשון לציון - מערב,2023-10-26T22:02:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,השפלה,לוד,2023-10-26T22:02:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,השפלה,אזור תעשייה נשר - רמלה,2023-10-26T22:02:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,השפלה,אחיסמך,2023-10-26T22:02:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,השפלה,ניר צבי,2023-10-26T22:02:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,השפלה,גינתון,2023-10-26T22:02:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,השפלה,בן שמן,2023-10-26T22:02:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,פתח תקווה,2023-10-26T22:01:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,קריית אונו,2023-10-26T22:01:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,רמת גן - מזרח,2023-10-26T22:01:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,גבעת שמואל,2023-10-26T22:01:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,גבעתיים,2023-10-26T22:01:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,תל אביב - מזרח,2023-10-26T22:01:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,בני ברק,2023-10-26T22:01:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,רמת גן - מערב,2023-10-26T22:01:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,השפלה,כפר חב''ד,2023-10-26T22:01:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,השפלה,צפריה,2023-10-26T22:01:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,השפלה,ראשון לציון - מזרח,2023-10-26T22:01:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,השפלה,גנות,2023-10-26T22:01:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,השפלה,רחובות,2023-10-26T22:01:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,השפלה,מצליח,2023-10-26T22:01:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,השפלה,משמר השבעה,2023-10-26T22:01:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,השפלה,רמלה,2023-10-26T22:01:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,השפלה,בית דגן,2023-10-26T22:01:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,השפלה,ישרש,2023-10-26T22:01:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,השפלה,חמד,2023-10-26T22:01:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,השפלה,סתריה,2023-10-26T22:01:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,חולון,2023-10-26T22:01:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,אור יהודה,2023-10-26T22:01:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,אזור,2023-10-26T22:01:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,ירקון,ברקת,2023-10-26T22:01:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,ירקון,אזור תעשייה חבל מודיעין,2023-10-26T22:01:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,ירקון,בית עריף,2023-10-26T22:01:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,ירקון,שהם,2023-10-26T22:01:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,ירקון,כפר טרומן,2023-10-26T22:01:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,ירקון,בית נחמיה,2023-10-26T22:01:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,עוטף עזה,סופה,2023-10-26T18:08:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,עוטף עזה,חולית,2023-10-26T18:08:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,השפלה,כפר חב''ד,2023-10-26T18:05:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,אזור,2023-10-26T18:04:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,השפלה,ראשון לציון - מזרח,2023-10-26T18:04:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,השפלה,צפריה,2023-10-26T18:04:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,גני תקווה,2023-10-26T18:04:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,יהוד-מונוסון,2023-10-26T18:04:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,השפלה,גנות,2023-10-26T18:04:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,השפלה,משמר השבעה,2023-10-26T18:04:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,השפלה,בית דגן,2023-10-26T18:04:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,השפלה,חמד,2023-10-26T18:04:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,רמת גן - מזרח,2023-10-26T18:04:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,סביון,2023-10-26T18:04:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,אור יהודה,2023-10-26T18:04:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,קריית אונו,2023-10-26T18:04:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,חולון,2023-10-26T18:03:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,מקווה ישראל,2023-10-26T18:03:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,רמת גן - מערב,2023-10-26T18:03:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,תל אביב - מזרח,2023-10-26T18:03:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,רמת השרון,2023-10-26T18:03:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,תל אביב - דרום העיר ויפו,2023-10-26T18:03:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,תל אביב - מרכז העיר,2023-10-26T18:03:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,תל אביב - עבר הירקון,2023-10-26T18:03:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,סינמה סיטי גלילות,2023-10-26T18:03:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,גבעתיים,2023-10-26T18:03:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,מתחם פי גלילות,2023-10-26T18:03:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,בת-ים,2023-10-26T18:03:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,הרצליה - מרכז וגליל ים,2023-10-26T18:03:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,לכיש,פלמחים,2023-10-26T18:03:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,השפלה,ראשון לציון - מערב,2023-10-26T18:03:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,מערב לכיש,אשקלון - צפון,2023-10-26T16:14:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,עוטף עזה,זיקים,2023-10-26T16:14:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,מערב לכיש,אזור תעשייה הדרומי אשקלון,2023-10-26T16:14:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,מערב לכיש,אשקלון - דרום,2023-10-26T16:14:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,לכיש,"אשדוד - א,ב,ד,ה",2023-10-26T16:01:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,לכיש,"אשדוד - ח,ט,י,יג,יד,טז",2023-10-26T16:01:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,לכיש,"אשדוד -יא,יב,טו,יז,מרינה,סיטי",2023-10-26T16:01:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,לכיש,אשדוד - איזור תעשייה צפוני,2023-10-26T16:01:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,עוטף עזה,זיקים,2023-10-26T16:00:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,מערב הנגב,שיבולים,2023-10-26T16:00:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,מערב הנגב,נתיבות,2023-10-26T16:00:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,מערב הנגב,מעגלים,2023-10-26T16:00:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,מערב הנגב,גבעולים,2023-10-26T16:00:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,מערב הנגב,מלילות,2023-10-26T16:00:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,מערב הנגב,יושיביה,2023-10-26T16:00:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,מערב לכיש,אשקלון - צפון,2023-10-26T16:00:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,מערב לכיש,אשקלון - דרום,2023-10-26T16:00:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,מערב לכיש,אזור תעשייה הדרומי אשקלון,2023-10-26T16:00:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,עוטף עזה,עין השלושה,2023-10-26T15:28:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,עוטף עזה,כרם שלום,2023-10-26T15:06:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,עוטף עזה,כרם שלום,2023-10-26T14:54:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,עוטף עזה,נירים,2023-10-26T14:21:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,עוטף עזה,כיסופים,2023-10-26T14:14:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,שרון,הוד השרון,2023-10-26T13:31:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,רמת גן - מערב,2023-10-26T13:31:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,תל אביב - עבר הירקון,2023-10-26T13:31:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,אור יהודה,2023-10-26T13:31:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,מעש,2023-10-26T13:31:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,פתח תקווה,2023-10-26T13:31:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,גני תקווה,2023-10-26T13:31:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,יהוד-מונוסון,2023-10-26T13:31:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,גבעתיים,2023-10-26T13:31:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,גת רימון,2023-10-26T13:31:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,גבעת שמואל,2023-10-26T13:31:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,רמת גן - מזרח,2023-10-26T13:31:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,קריית אונו,2023-10-26T13:31:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,סביון,2023-10-26T13:31:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,בני ברק,2023-10-26T13:31:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,השפלה,אירוס,2023-10-26T13:31:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,השפלה,חמד,2023-10-26T13:31:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,השפלה,בית עובד,2023-10-26T13:31:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,השפלה,נטעים,2023-10-26T13:31:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,השפלה,פארק תעשיות פלמחים,2023-10-26T13:31:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,השפלה,גנות,2023-10-26T13:31:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,השפלה,משמר השבעה,2023-10-26T13:31:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,השפלה,בית דגן,2023-10-26T13:31:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,השפלה,בית חנן,2023-10-26T13:31:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,השפלה,גן שורק,2023-10-26T13:31:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,השפלה,עיינות,2023-10-26T13:31:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,השפלה,רחובות,2023-10-26T13:31:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,השפלה,ראשון לציון - מערב,2023-10-26T13:31:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,שרון,גני עם,2023-10-26T13:31:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,שרון,עדנים,2023-10-26T13:31:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,שרון,מרכז אזורי דרום השרון,2023-10-26T13:31:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,שרון,ירקונה,2023-10-26T13:31:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,לכיש,פלמחים,2023-10-26T13:31:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,חולון,2023-10-26T13:31:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,מקווה ישראל,2023-10-26T13:31:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,תל אביב - מזרח,2023-10-26T13:31:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,תל אביב - דרום העיר ויפו,2023-10-26T13:31:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,אזור,2023-10-26T13:31:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
ירי רקטות וטילים,דן,בת-ים,2023-10-26T13:31:00.000000,היכנסו למרחב המוגן ושהו בו למשך 10 דקות.
